#separator:tab
#html:true
What's the three types of version control?	Local, Centralized, Distributed
What is Local version control system?	Database is on your local computer<br>
What is centralized version control system?<br>	A single server that contains all the versioned files
What is the downside of centralized version control system	If server goes down, you fuck up.<br>You may lose the entire history of the project.
What is the major issue of local version control system?	People need to collaborate with developers on other systems.
Compare to Local Version Control System, what is the advantage of using centralized?	More collaborate
What is a Distributed Version Control System?	It is a form of version control which the complete codespace, including its full history, is mirrored on every developer's computer.
What is the advantage of Distributed Version Control System?	If any server crashes, they can get back up from any of the client's repositories. (Github)
In pipes and filters, what is the meaning of the following?<br>1, Program_1 | Program_2<br>2, Program_1 &gt; file.txt<br>3, Program_1 &lt; file.txt	1, Program_1's output becomes Program_2's input<br>2, Program_1's output and error logs are written to file.txt<br>3, Program_1 get its input from file.txt
Can filters be connected by pipes?	Yes, dumb question.
What is filters?	A program which accepts textual input and transforms it in some way.
which one is filter?<br>cat student_attendance.txt | grep -e August | sort	cat student_attendance.txt, grep -e Augusrt, sort
Give me 3 examples of Unix family of operating systems	Linux (Linus Benedict Torvalds, funny guy)<br><br>BSD (William Nelson Joy<b>)<br></b><br>OS X / macOS (Apple)
What is markup language?	A markup language is a set of rules that defines how the layout and presentation of text and images should appear in a digital document.
Give me few examples of markup languages.	Latex, HTML, XML
Give me two formats of structured data for representing rows and columns.	CSV (Comma Separated)<br>TSV (Tab Separated)
For Windows and Linux, what's the difference of new line cmd?	Windows uses \r\n (in order)<br>Mac and Linux now use \n
For CSV/TSV, what cases it works well and what cases it doesn't work well?	Work Well: Particular lists (lists of students, news articles...)<br><br>Work Bad: Flexible formats (one file that describes different contents)
For Human-readable and Machine-readable, answer the following:<br>structured/unstructured?<br>What each of it focus on?	Human-readable focus on usability and it's mostly unstructured.<br><br>Machine-readable focus on efficiency and it needs to be structured.
What is the definition of entity in computer science?	An entity is an object that has an identity, which is independent of the changes of its attributes.&nbsp;<br><br>It represents long-lived information relevant for the users and is usually stored in a database
State five types of Relationship Modelling, with its features.	1, Hierarchical - single parent<br>2, Network - multiple parent<br>3, Object-oriented - pointers<br>4, Object-relational - object as Tables<br>5, Entity-relational - conceptual entities as Tables
What's the difference between object-relational and entity-relational?	Entity is a part of relational database. Object is a part of object oriented database.
What's the relation between YAML and JSON?	YAML is a superset of JSON
What does YAML rely on for structure?	It relies on indentation and whitespace for structure
Is YAML key-value pair?	Yes -_-
Give an example of key-value pair	"name: Karso, where ""name"" = key and ""Karso"" = value"
What will happen if I use tabs to indent instead of spaces?	YAML use indentation to define the structure. However, it doesn't accept tabs for indentation, have to use spaces.
Is YAML markup language? Why?	YAML is a data serialization language.<br>Difference between markup language and data serialization language:<br>Markup languages focus on how data should be displayed or structured.<br>Data serialization languages focus on accurately and efficiently representing data structure in a standardized and exchangeable format.<br>As a result, considering the features of YAML, it's a data serialization language instead of markup language.
When/why would you use YAML?	Config files<br>Passing messages between applications<br>Saving (simple) application state
Why wouldn't you use YAML?	Not all parsers will give the same result
For YAML, what's the rule of Parent element?	Parent can't have a value and children.
Does JSON (JavaScript Object Notation) have classes?	No, it only has objects, lists and values, but no classes.
"<img src=""Screenshot 2024-03-22 130808.png""><br><br>What is the type of data called that is used for annotations?"	Metadata
What is automatic anotation?	Automatically annotating and generating machine readable data.
What automatic annotation do?	Machine learning<br><br>Train with known data<br><br>Predict with unknown data
What is the relationship between SGML (Standard Generalised Markup Language)&nbsp;and markup languages?	SGML is the superset of all markup languages
What's the pros &amp; cons of SGML?&nbsp;	Advantages:<br>Flexible<br><br>Disadvantages:<br>Very complex<br>No strict structure<br>Requires a definition of the structure as well as the SGML itself<br>A lot of things have to be inferred
What's the pros &amp; cons of XML?	Pros:<br>Easier and more efficient to parse<br>Simplifies SGML, while keeping the bits that were needed<br>Data can be delivered without a definition of structure<br><br>Cons:<br>Less flexible
is LateX XML?	No
What type of relationship modelling XML is?	Hierachical (Tags, attributes, content)
What is XML designed to compare to HTML?	XML is designed to carry data and HTML is designed to display data.
Do you have to define your own XML tags?&nbsp;	Yes, XML doesn't have defined tags
What is query language?	Query language is a computer language that used to make queries in databases and information systems.
What is the use of the following?<br><br>XSLT<br><br>XPATH<br><br>XQUERY	XSLT: language to transform XML documents<br><br>XPATH: locate data<br><br>XQUERY: generalised query language for XML-based databases
What XML syntax should be followed? (tag, case, attributes...)	"Must have a closing tag<br><br>All tags are case sensitive<br><br>Must be nested&nbsp;<br><br>XML documents must have a root element (exact one)<br><br>XML attributes must be quoted (e.g. &lt;tag attr=""...""&gt; )"
